	value
interest_rate	0.01
income_shock_mean	0.056309937335536284
income_shock_std	0.4640092928076277
taste_shock_scale	4.036451285198963
discount_factor	0.9952642266327227
rho	-0.00972037619403519
gamma	[5.51201721 6.60727343 4.52200565 6.39658214]
beta0	-6.896104044649029
beta1	0.027168298835916926
beta2	-0.0001768093349215562
kappa1	0.3789370306975939
kappa2	0.1267676364839745
phi_entry	2.2332489220280864
phi_exit	1.929726579075728
phi_switch	4.283264370244998
alpha1	0.000417
alpha2	0.099277
b_scale	5.777684723914091
xi	0.07906013687318644
eta_edu	0.43848
