	value
interest_rate	0.01
income_shock_mean	0.00022222195792558305
income_shock_std	0.16906489493103705
taste_shock_scale	0.8016272484809103
discount_factor	0.8133945778718266
rho	0.5004567780096063
gamma	[0.85771573 1.55104211 2.06192567 1.33007947]
beta0	-6.896104044649029
beta1	0.027168298835916926
beta2	-0.0001768093349215562
kappa1	0.01550495596134991
kappa2	0.0021879492262519493
phi	1.015773065518494
alpha1	0.000417
alpha2	0.099277
b_scale	1.269971769887156
xi	0.2680899396344615
eta_edu	0.43848
