	value
interest_rate	0.01
income_shock_mean	0.0009424507203321015
income_shock_std	0.17251385279543896
taste_shock_scale	0.9105331638066251
discount_factor	0.8460805999317347
rho	0.26757879863985523
gamma	[0.73126429 1.46994105 1.82877359 1.47935014]
beta0	-6.896104044649029
beta1	0.027168298835916926
beta2	-0.0001768093349215562
kappa1	0.011813210842331629
kappa2	0.0016194213769173509
phi_entry	1.5810965550787026
phi_exit	0.9015090954064988
phi_switch	1.0243491969463112
alpha1	0.000417
alpha2	0.099277
b_scale	1.1784441521168831
xi	0.3149772548338377
eta_edu	0.43848
