	value
interest_rate	0.01
income_shock_mean	0.0001561292879877122
income_shock_std	0.1555570816215936
taste_shock_scale	0.8485024405844543
discount_factor	0.9018734580528236
rho	0.45115976181917716
gamma	[0.57138322 1.21565912 1.77349859 1.56529369]
beta0	-7.721101409916507
beta1	0.07418311839644703
beta2	-0.0005894472446704149
kappa1	0.007780075918920356
kappa2	0.001779356961847976
phi_entry	0.8897471765511435
phi_exit	0.8462646993398741
phi_switch	1.3673307848114822
alpha1	0.000417
alpha2	0.099277
b_scale	1.1740479410782678
xi	0.640577028985502
eta_edu	0.43848
