education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
udd1,30,2840,0.7408450704,0.2591549296,0.1183098592,0.1080985915,0.1084507042,0.4059859155,0.5050470915,,,,2.5298354233,0.0017999063,1380.8697719,3.1694185e-07,1.1488856888,
udd1,31,5097,0.7255248185,0.2744751815,0.1071218364,0.0980969198,0.1012360212,0.4190700412,0.5515216621,0.6723826715,0.2378158845,,2.6760158291,0.0018563022,1417.171444,3.5410217e-07,1.3179174166,
udd1,32,7282,0.7283713266,0.2716286734,0.1038176325,0.0961274375,0.0994232354,0.4290030211,0.5665775804,0.6603319702,0.2383930719,,2.751088412,0.0018852958,1431.1463047,3.5809932e-07,1.3707690709,
udd1,33,9171,0.7294733399,0.2705266601,0.1065314579,0.0858139788,0.1036964344,0.4334314688,0.6470821291,0.6692446931,0.2363008063,,2.8158825665,0.0019215566,1438.4603886,4.0476377e-07,1.5202373154,
udd1,34,11180,0.7228980322,0.2771019678,0.0989266547,0.081216458,0.0994633274,0.4432915921,0.6744912762,0.6661116803,0.2392418033,,2.922359426,0.0019558028,1462.447414,4.2480779e-07,1.6206270208,
udd1,35,13112,0.7188834655,0.2811165345,0.0928920073,0.0790115924,0.1045607077,0.442419158,0.7313050122,0.6699896158,0.2414330218,9.3119962067,2.9911146952,0.0019855049,1473.1275196,4.5788654e-07,1.6251245703,
udd1,36,17702,0.7478815953,0.2521184047,0.0856400407,0.07631906,0.0982939781,0.4876285166,0.8735962118,0.6784866234,0.2296184898,11.223930078,3.2800310007,0.002114616,1514.8462875,6.0462395e-07,2.0698255321,
udd1,37,22115,0.7633280579,0.2366719421,0.0814379381,0.0699525209,0.0951842641,0.5167533348,1.0622634687,0.7102259215,0.2094530321,12.188311688,3.4923424795,0.0022139884,1543.759256,7.4767724e-07,2.2508202605,
udd1,38,26699,0.7775197573,0.2224802427,0.0749840818,0.0680175287,0.0934866474,0.5410314993,1.1591968735,0.7299515991,0.1965455063,12.992333462,3.6724533483,0.0022895041,1568.129486,8.3872952e-07,2.3197085338,
udd1,39,31731,0.7868960953,0.2131039047,0.0734612839,0.0629037849,0.0898490435,0.5606819829,1.3369972706,0.7458161438,0.1839339924,13.763615752,3.8325634578,0.0023612679,1585.5240498,9.3412557e-07,2.4160389572,
