education,age,n_data,moment,data_value,data_se,denominator_note
udd1,30,2840,prob_work,0.7408450704,0.008222128593867357,Uses total age-cell frequency
udd1,31,5097,prob_work,0.7255248185,0.00625058060855109,Uses total age-cell frequency
udd1,32,7282,prob_work,0.7283713266,0.005212413841895231,Uses total age-cell frequency
udd1,33,9171,prob_work,0.7294733399,0.00463875463007704,Uses total age-cell frequency
udd1,34,11180,prob_work,0.7228980322,0.004232894306220716,Uses total age-cell frequency
udd1,35,13112,prob_work,0.7188834655,0.003925888602819013,Uses total age-cell frequency
udd1,36,17702,prob_work,0.7478815953,0.0032636796977581362,Uses total age-cell frequency
udd1,37,22115,prob_work,0.7633280579,0.0028581533632124284,Uses total age-cell frequency
udd1,38,26699,prob_work,0.7775197573,0.0025453877161882243,Uses total age-cell frequency
udd1,39,31731,prob_work,0.7868960953,0.0022988599768867745,Uses total age-cell frequency
udd1,40,32214,prob_work,0.7873905755,0.0022796282744457015,Uses total age-cell frequency
udd1,41,32959,prob_work,0.7841864134,0.0022660111095178944,Uses total age-cell frequency
udd1,42,33929,prob_work,0.7889416134,0.002215328879254968,Uses total age-cell frequency
udd1,43,34810,prob_work,0.7871588624,0.0021938501947408816,Uses total age-cell frequency
udd1,44,35491,prob_work,0.7868473698,0.0021738595353921033,Uses total age-cell frequency
udd1,45,36530,prob_work,0.789488092,0.002132977575295862,Uses total age-cell frequency
udd1,46,37648,prob_work,0.7887537187,0.002103750786040311,Uses total age-cell frequency
udd1,47,38609,prob_work,0.7876919889,0.002081215868645027,Uses total age-cell frequency
udd1,48,39731,prob_work,0.7834688279,0.002066361617364992,Uses total age-cell frequency
udd1,49,40045,prob_work,0.778873767,0.002073860420280879,Uses total age-cell frequency
udd1,50,40332,prob_work,0.7723147873,0.002088044301422947,Uses total age-cell frequency
udd1,51,40778,prob_work,0.7666633969,0.002094502289083435,Uses total age-cell frequency
udd1,52,41035,prob_work,0.7649811137,0.0020931459883932807,Uses total age-cell frequency
