education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd1,10000,30,hours_0,0.31728,0.0031716802416945533,0.3125,0.3244,10,1.7042888164520265,2.595287322998047,20,5,5,2840,0.2591549296,0.008222128593867357,Uses total age-cell frequency,0.3857492868769063
udd1,10000,30,hours_1,0.07703,0.0019838514729350783,0.0732,0.08,10,1.7042888164520265,2.595287322998047,20,5,5,2840,0.1183098592,0.006060511657851703,Uses total age-cell frequency,0.32734059184011255
udd1,10000,30,hours_2,0.07128999999999999,0.002185533242839273,0.0669,0.0744,10,1.7042888164520265,2.595287322998047,20,5,5,2840,0.1080985915,0.005826520414997181,Uses total age-cell frequency,0.3751009328335685
udd1,10000,30,hours_3,0.09103,0.0028035889697156243,0.086,0.0955,10,1.7042888164520265,2.595287322998047,20,5,5,2840,0.1084507042,0.00583485003966647,Uses total age-cell frequency,0.4804903212004198
udd1,10000,30,hours_4,0.44337,0.0036061829620189227,0.4382,0.4484,10,1.7042888164520265,2.595287322998047,20,5,5,2840,0.4059859155,0.00921498610874567,Uses total age-cell frequency,0.39133894717393025
udd1,10000,30,nowork_nowork,0.15095,0.003680655134921262,0.1471,0.1577,10,1.7042888164520265,2.595287322998047,20,5,5,2840,,,Approximate: uses total age-cell frequency,
udd1,10000,30,prob_work,0.68272,0.0031716802416945876,0.6756,0.6875,10,1.7042888164520265,2.595287322998047,20,5,5,2840,0.7408450704,0.008222128593867357,Uses total age-cell frequency,0.38574928687691046
udd1,10000,30,work_work,0.57382,0.004467611840296275,0.5653,0.5798,10,1.7042888164520265,2.595287322998047,20,5,5,2840,,,Approximate: uses total age-cell frequency,
udd1,10000,31,hours_0,0.30075,0.0038228116470588654,0.2929,0.3069,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.2744751815,0.00625058060855109,Uses total age-cell frequency,0.611593048144852
udd1,10000,31,hours_1,0.06705,0.0019990275413588224,0.0632,0.0697,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.1071218364,0.004331893678080904,Uses total age-cell frequency,0.46146736044648784
udd1,10000,31,hours_2,0.06499,0.0021681789594034883,0.0604,0.0676,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.0980969198,0.004166297746094687,Uses total age-cell frequency,0.5204090277599215
udd1,10000,31,hours_3,0.08776,0.0029224038811301294,0.0834,0.0925,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.1012360212,0.004225061611070564,Uses total age-cell frequency,0.6916831398322824
udd1,10000,31,hours_4,0.47945000000000004,0.0058543905651134145,0.4713,0.4886,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.4190700412,0.006911111146729345,Uses total age-cell frequency,0.8470983089143315
udd1,10000,31,nowork_nowork,0.18351,0.003012363413224469,0.1782,0.1863,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.2378158845,0.0059633878968959365,Approximate: uses total age-cell frequency,0.5051429598923902
udd1,10000,31,prob_work,0.6992499999999999,0.0038228116470588485,0.6931,0.7071,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.7255248185,0.00625058060855109,Uses total age-cell frequency,0.6115930481448494
udd1,10000,31,work_work,0.56548,0.003700990858315284,0.559,0.5728,10,1.7042888164520265,2.595287322998047,20,5,5,5097,0.6723826715,0.0065740707206424585,Approximate: uses total age-cell frequency,0.5629679106880068
udd1,10000,32,hours_0,0.27690833383338337,0.0032230081808499386,0.2695,0.2814281428142814,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.2716286734,0.005212413841895232,Uses total age-cell frequency,0.6183331329037477
udd1,10000,32,hours_1,0.0660419111911191,0.0025077445852764134,0.06060606060606061,0.0691,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.1038176325,0.0035744433669348003,Uses total age-cell frequency,0.7015762533753289
udd1,10000,32,hours_2,0.06410192619261926,0.0025674481771863038,0.0597,0.0685,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.0961274375,0.0034542355305845944,Uses total age-cell frequency,0.7432753656933722
udd1,10000,32,hours_3,0.08786268526852685,0.0017554641505004923,0.0863,0.09150915091509151,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.0994232354,0.0035065414537082825,Uses total age-cell frequency,0.5006255233754705
udd1,10000,32,hours_4,0.5050851435143514,0.0034402156852542227,0.49914991499149913,0.5103,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.4290030211,0.0057999165270096065,Uses total age-cell frequency,0.5931491719291988
udd1,10000,32,nowork_nowork,0.16678499549954995,0.002723853813126172,0.1641,0.1715,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.2383930719,0.004993291505791284,Approximate: uses total age-cell frequency,0.545502662916237
udd1,10000,32,prob_work,0.7230916661666167,0.0032230081808499373,0.7185718571857186,0.7305,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.7283713266,0.005212413841895231,Uses total age-cell frequency,0.6183331329037475
udd1,10000,32,work_work,0.5891376617661767,0.0033869684030126542,0.5848,0.5969,10,1.7042888164520265,2.595287322998047,20,5,5,7282,0.6603319702,0.0055498744802939615,Approximate: uses total age-cell frequency,0.6102783792748508
udd1,10000,33,hours_0,0.2597085679033531,0.00579868740670614,0.2506,0.26712671267126714,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.2705266601,0.00463875463007704,Uses total age-cell frequency,1.2500526260018707
udd1,10000,33,hours_1,0.06781742827677402,0.0020448709958065152,0.06410641064106411,0.0702,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.1065314579,0.0032215896517352335,Uses total age-cell frequency,0.6347397455492488
udd1,10000,33,hours_2,0.06497720925327195,0.0012997759187657989,0.0629062906290629,0.06692007602280685,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.0858139788,0.0029247446870282142,Uses total age-cell frequency,0.444406626168276
udd1,10000,33,hours_3,0.08948992473607861,0.0033662352278279687,0.0846084608460846,0.09440944094409441,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.1036964344,0.003183472679039799,Uses total age-cell frequency,1.0574098059617383
udd1,10000,33,hours_4,0.5180068698305222,0.0038868338361903467,0.5122512251225122,0.5271,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.4334314688,0.005174615648613852,Uses total age-cell frequency,0.751134789543554
udd1,10000,33,nowork_nowork,0.15020649182470552,0.0035742286228172657,0.1439,0.1554155415541554,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.2363008063,0.004435937525928501,Approximate: uses total age-cell frequency,0.8057436791942041
