education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,work_work,nowork_nowork
udd1,30,2840,0.7408450704,0.2591549296,0.1183098592,0.1080985915,0.1084507042,0.4059859155,,
udd1,31,5097,0.7255248185,0.2744751815,0.1071218364,0.0980969198,0.1012360212,0.4190700412,0.6723826715,0.2378158845
udd1,32,7282,0.7283713266,0.2716286734,0.1038176325,0.0961274375,0.0994232354,0.4290030211,0.6603319702,0.2383930719
udd1,33,9171,0.7294733399,0.2705266601,0.1065314579,0.0858139788,0.1036964344,0.4334314688,0.6692446931,0.2363008063
udd1,34,11180,0.7228980322,0.2771019678,0.0989266547,0.081216458,0.0994633274,0.4432915921,0.6661116803,0.2392418033
udd1,35,13112,0.7188834655,0.2811165345,0.0928920073,0.0790115924,0.1045607077,0.442419158,0.6699896158,0.2414330218
udd1,36,17702,0.7478815953,0.2521184047,0.0856400407,0.07631906,0.0982939781,0.4876285166,0.6784866234,0.2296184898
udd1,37,22115,0.7633280579,0.2366719421,0.0814379381,0.0699525209,0.0951842641,0.5167533348,0.7102259215,0.2094530321
udd1,38,26699,0.7775197573,0.2224802427,0.0749840818,0.0680175287,0.0934866474,0.5410314993,0.7299515991,0.1965455063
udd1,39,31731,0.7868960953,0.2131039047,0.0734612839,0.0629037849,0.0898490435,0.5606819829,0.7458161438,0.1839339924
udd1,40,32214,0.7873905755,0.2126094245,0.0723288011,0.0626435711,0.0900540138,0.5623641895,0.7468616044,0.1850505205
udd1,41,32959,0.7841864134,0.2158135866,0.068630723,0.0602263418,0.0858035741,0.5695257744,0.746649244,0.1879783461
udd1,42,33929,0.7889416134,0.2110583866,0.0686138701,0.0575319049,0.085325238,0.5774706004,0.7506724827,0.188258815
udd1,43,34810,0.7871588624,0.2128411376,0.0652398736,0.0554151106,0.0850617639,0.5814421143,0.7516776153,0.1874690966
udd1,44,35491,0.7868473698,0.2131526302,0.0657631512,0.0567467809,0.0792313544,0.5851060832,0.7511925337,0.1887659869
udd1,45,36530,0.789488092,0.210511908,0.062168081,0.0545305229,0.0787571859,0.5940323022,0.7543883338,0.1890359168
udd1,46,37648,0.7887537187,0.2112462813,0.0624734382,0.0524065023,0.0762324692,0.597641309,0.7576997349,0.1884593984
udd1,47,38609,0.7876919889,0.2123080111,0.0610738429,0.0495221321,0.0751897226,0.6019062913,0.7577128754,0.1894440401
udd1,48,39731,0.7834688279,0.2165311721,0.0571845662,0.0501623417,0.0714555385,0.6046663814,0.7561473508,0.1923850175
udd1,49,40045,0.778873767,0.221126233,0.0590585591,0.0498439256,0.070320889,0.5996503933,0.7491597922,0.1996333639
