education,n_individuals,moment,mean_sd_to_se,median_sd_to_se,p90_sd_to_se,max_sd_to_se,mean_simulation_sd
udd1,10000,hours_4,1.919147724843807,1.703296289120567,2.767684863681343,5.2520117483983535,0.003993334712384002
udd1,10000,hours_2,1.8545649581783485,1.722883966157863,2.665135213086751,8.015656503630758,0.0021048715079516078
udd1,10000,hours_3,1.8817676126741574,1.6425955719531344,2.587703171263509,11.16317003991018,0.0021568438023138693
udd1,10000,hours_1,1.6755404901569881,1.6876724980794042,2.456597703380005,3.166784209459391,0.0025021182402785373
udd1,10000,hours_0,1.5138298417778402,1.4647253995265548,2.052652029202282,2.427190793237987,0.003720126437450604
udd1,10000,prob_work,1.5138298417778409,1.4647253995265541,2.0526520292022767,2.427190793237978,0.0037201264374506055
udd1,10000,work_work,1.4104889582095737,1.4239256050984679,2.0004281661269205,2.5173355107463538,0.003524495450330344
udd1,10000,nowork_nowork,1.4227148921602857,1.392864434139947,1.9621755518160526,2.528217729119596,0.0034276310231063888
udd1,25000,hours_4,1.3165871258628585,1.1717988490181452,1.9880765517528387,2.9300374489898053,0.002644092747176996
udd1,25000,hours_2,1.1871017121137803,1.039310720294796,1.6233822917092293,6.317139531283066,0.0013626617445253897
udd1,25000,nowork_nowork,0.9957231434269479,0.9000887302368283,1.591326323430638,2.078516644469291,0.0023624641578820194
udd1,25000,hours_3,1.1723092868276372,1.1660023909325945,1.4869606013919499,8.155638776658268,0.0013274799326312746
udd1,25000,hours_1,1.0562812014067224,1.0945790229697263,1.4606318044906197,2.0848420815580346,0.0015919585364726568
udd1,25000,prob_work,1.0474416653791152,1.0530234398515568,1.4465361131621144,1.692648381737878,0.0025288924808997996
udd1,25000,hours_0,1.0474416653791145,1.0530234398515512,1.446536113162107,1.692648381737852,0.0025288924808997996
udd1,25000,work_work,0.9461357836776768,0.9976705991645833,1.4357420819948372,1.5953437036118265,0.002330468094679599
udd1,50000,hours_4,0.9351213240294658,0.9020940278605785,1.342678412594718,1.856929601125184,0.001904193335972793
udd1,50000,hours_3,0.8724752662883974,0.7775379963919696,1.2728131842754036,4.111340675126711,0.001007850463947906
udd1,50000,hours_2,0.8116339565164034,0.7384737500079843,1.232728117459581,2.53199410568484,0.0009155826059623623
udd1,50000,hours_1,0.7246764097522216,0.675576967786331,1.113031822347676,1.4039419519458949,0.001094535006739407
udd1,50000,hours_0,0.7254769087011329,0.7611799537126,1.048193884816784,1.149249610534242,0.0017111910940184
udd1,50000,prob_work,0.725476908701134,0.7611799537125995,1.048193884816781,1.1492496105342445,0.0017111910940184028
udd1,50000,work_work,0.6701061472215123,0.6905662157818593,0.9636913834664068,1.218905405888238,0.0016239502177121477
udd1,50000,nowork_nowork,0.660989362029546,0.6669585376145919,0.9203588970182769,1.1660606490998295,0.0015438865293907057
udd1,100000,hours_4,0.6649562589836259,0.6433928948071859,1.0083035143730665,1.270378574729174,0.0013658901756120143
udd1,100000,work_work,0.5244107930508665,0.5221725465807243,0.8309183250980827,0.9369588160737305,0.0012976321785773727
udd1,100000,hours_3,0.6558624147556622,0.5864347075157456,0.8248749114740952,4.544528296412358,0.0007300837119793508
udd1,100000,nowork_nowork,0.49251056418389316,0.4312967503220132,0.8225313589974146,1.1782069154561143,0.0011477176437982397
udd1,100000,hours_2,0.5751077951215283,0.5661530373448772,0.7901523311363743,2.222216101055535,0.0006570934235630873
udd1,100000,hours_0,0.5421641107460653,0.5443733947682737,0.7444748350632449,1.0262988840834022,0.0012981578283528684
udd1,100000,prob_work,0.5421641107460661,0.5443733947682892,0.7444748350632447,1.0262988840833995,0.0012981578283528699
udd1,100000,hours_1,0.4991160797313897,0.47906880237030475,0.7371051305342659,0.977941219063153,0.0007620137004241209
udd1,250000,hours_4,0.38382459575406414,0.37966237428050725,0.5499421996260145,0.7696316428817356,0.0007908653377002372
udd1,250000,hours_3,0.4017705777587964,0.3895295537043663,0.4961301346481624,2.8812572403305583,0.0004709584635089656
udd1,250000,nowork_nowork,0.30106876845670527,0.291379752497309,0.4854412137765643,0.6201700771357193,0.0007101338857754958
udd1,250000,hours_1,0.33913573424585697,0.33681191453693393,0.48378089300658295,0.6537368599827896,0.0005111533726123808
