age,moment,sim_value,label,n_individuals,sim_time,benchmark_value,simulation_error,education,n_data,data_value,data_se,denominator_note,simulation_error_to_data_se
30,prob_work,0.6928,N=10000,10000,3.043421745300293,0.683829,0.008970999999999951,udd1,2840,0.7408450704,0.008222128593867357,Uses total age-cell frequency,1.0910799919489407
31,prob_work,0.7064,N=10000,10000,3.043421745300293,0.696873,0.009527000000000063,udd1,5097,0.7255248185,0.00625058060855109,Uses total age-cell frequency,1.5241784078372937
32,prob_work,0.7237723772377238,N=10000,10000,3.043421745300293,0.7108331199897595,0.012939257247964298,udd1,7282,0.7283713266,0.005212413841895231,Uses total age-cell frequency,2.4823925421968394
33,prob_work,0.7347734773477348,N=10000,10000,3.043421745300293,0.7212743720402254,0.013499105307509418,udd1,9171,0.7294733399,0.00463875463007704,Uses total age-cell frequency,2.9100709962072786
34,prob_work,0.7307730773077308,N=10000,10000,3.043421745300293,0.7294789014869237,0.001294175820807042,udd1,11180,0.7228980322,0.004232894306220716,Uses total age-cell frequency,0.30574253151209196
35,prob_work,0.7324197259177754,N=10000,10000,3.043421745300293,0.7369026608878697,0.004482934970094332,udd1,13112,0.7188834655,0.003925888602819013,Uses total age-cell frequency,1.1418905179518664
36,prob_work,0.745221655158611,N=10000,10000,3.043421745300293,0.7436603621392094,0.001561293019401666,udd1,17702,0.7478815953,0.0032636796977581362,Uses total age-cell frequency,0.4783842668366441
37,prob_work,0.7568811930737664,N=10000,10000,3.043421745300293,0.7500132646840052,0.006867928389761246,udd1,22115,0.7633280579,0.0028581533632124284,Uses total age-cell frequency,2.4029250767852504
38,prob_work,0.7575575575575576,N=10000,10000,3.043421745300293,0.7552311333179101,0.002326424239647462,udd1,26699,0.7775197573,0.0025453877161882243,Uses total age-cell frequency,0.9139763757213911
39,prob_work,0.7606649309032646,N=10000,10000,3.043421745300293,0.7600280956011948,0.0006368353020698159,udd1,31731,0.7868960953,0.0022988599768867745,Uses total age-cell frequency,0.27702222339450555
40,prob_work,0.767157599438934,N=10000,10000,3.043421745300293,0.7655733332798598,0.0015842661590742546,udd1,32214,0.7873905755,0.0022796282744457015,Uses total age-cell frequency,0.6949668842212767
41,prob_work,0.7624586383234734,N=10000,10000,3.043421745300293,0.7716119801621582,0.00915334183868477,udd1,32959,0.7841864134,0.0022660111095178944,Uses total age-cell frequency,4.039407309274927
42,prob_work,0.773352061803953,N=10000,10000,3.043421745300293,0.7763678719537298,0.0030158101497768097,udd1,33929,0.7889416134,0.002215328879254968,Uses total age-cell frequency,1.3613374420465507
43,prob_work,0.7853555644837285,N=10000,10000,3.043421745300293,0.7807135333327972,0.004642031150931203,udd1,34810,0.7871588624,0.0021938501947408816,Uses total age-cell frequency,2.115928955431471
44,prob_work,0.7889447236180904,N=10000,10000,3.043421745300293,0.784895719608658,0.004049004009432422,udd1,35491,0.7868473698,0.0021738595353921033,Uses total age-cell frequency,1.8625876895500957
45,prob_work,0.7777889548335177,N=10000,10000,3.043421745300293,0.7889726351041612,0.011183680270643426,udd1,36530,0.789488092,0.002132977575295862,Uses total age-cell frequency,5.24322449526557
46,prob_work,0.7903696988012491,N=10000,10000,3.043421745300293,0.7924560472488291,0.0020863484475800442,udd1,37648,0.7887537187,0.002103750786040311,Uses total age-cell frequency,0.991727946781652
47,prob_work,0.7933225741375832,N=10000,10000,3.043421745300293,0.7966887878999178,0.003366213762334591,udd1,38609,0.7876919889,0.002081215868645027,Uses total age-cell frequency,1.6174265308317874
48,prob_work,0.8024666397088557,N=10000,10000,3.043421745300293,0.799972259007723,0.0024943807011327257,udd1,39731,0.7834688279,0.002066361617364992,Uses total age-cell frequency,1.2071365825665792
49,prob_work,0.8001013171225937,N=10000,10000,3.043421745300293,0.8029248249974638,0.002823507874870068,udd1,40045,0.778873767,0.002073860420280879,Uses total age-cell frequency,1.3614744016801568
50,prob_work,0.8105006600995227,N=10000,10000,3.043421745300293,0.8042378775430519,0.006262782556470836,udd1,40332,0.7723147873,0.002088044301422947,Uses total age-cell frequency,2.999353295427168
51,prob_work,0.8069836098951441,N=10000,10000,3.043421745300293,0.8025957739657941,0.0043878359293499924,udd1,40778,0.7666633969,0.002094502289083435,Uses total age-cell frequency,2.094930118825572
52,prob_work,0.8066789215686274,N=10000,10000,3.043421745300293,0.7987324336843784,0.00794648788424901,udd1,41035,0.7649811137,0.0020931459883932807,Uses total age-cell frequency,3.7964327038406007
53,prob_work,0.7922171018945212,N=10000,10000,3.043421745300293,0.7934820861510491,0.001264984256527879,udd1,41296,0.7609695854,0.0020987283947791133,Uses total age-cell frequency,0.602738429457908
54,prob_work,0.7891002570694088,N=10000,10000,3.043421745300293,0.784674223763665,0.0044260333057437595,udd1,42101,0.7576067077,0.0020885073047798696,Uses total age-cell frequency,2.119232858613471
55,prob_work,0.7739238154227315,N=10000,10000,3.043421745300293,0.7755647564665469,0.0016409410438154026,udd1,42583,0.7569922269,0.002078440831126764,Uses total age-cell frequency,0.7895057772348592
56,prob_work,0.7652552926525529,N=10000,10000,3.043421745300293,0.7632594802582918,0.001995812394261054,udd1,42538,0.7530443368,0.002090890237522,Uses total age-cell frequency,0.9545275779882033
57,prob_work,0.7574020016680567,N=10000,10000,3.043421745300293,0.7489944785071087,0.00840752316094806,udd1,41686,0.7471813079,0.002128739296911431,Uses total age-cell frequency,3.949531618618805
58,prob_work,0.7327396542692509,N=10000,10000,3.043421745300293,0.7307244358608406,0.0020152184084103464,udd1,40096,0.7387270551,0.002194010481356121,Uses total age-cell frequency,0.9185090160393113
59,prob_work,0.7174599831508003,N=10000,10000,3.043421745300293,0.7097918840156904,0.007668099135109907,udd1,38600,0.7272279793,0.002266947946080665,Uses total age-cell frequency,3.382565156984444
60,prob_work,0.6870026525198939,N=10000,10000,3.043421745300293,0.6855956931966858,0.0014069593232081123,udd1,36987,0.7127909806,0.002352640566524788,Uses total age-cell frequency,0.5980341167399011
61,prob_work,0.6598566691624773,N=10000,10000,3.043421745300293,0.6597356701530855,0.00012099900939177566,udd1,35482,0.6865171073,0.0024627966771964926,Uses total age-cell frequency,0.04913073438507073
62,prob_work,0.627431906614786,N=10000,10000,3.043421745300293,0.6292249382561057,0.00179303164131972,udd1,34081,0.6530911652,0.0025783295133971025,Uses total age-cell frequency,0.6954237741929635
63,prob_work,0.5977312390924956,N=10000,10000,3.043421745300293,0.5988116141876395,0.001080375095143915,udd1,32751,0.608439437,0.002697092662546113,Uses total age-cell frequency,0.40057025483285325
64,prob_work,0.563596249310535,N=10000,10000,3.043421745300293,0.5623299199519358,0.0012663293585991608,udd1,31813,0.5374218087,0.002795425401590887,Uses total age-cell frequency,0.45300059085049743
65,prob_work,0.5200446677833612,N=10000,10000,3.043421745300293,0.517231437007302,0.002813230776059217,udd1,31074,0.4617365,0.0028281079857679146,Uses total age-cell frequency,0.9947395185107621
66,prob_work,0.4457381867510739,N=10000,10000,3.043421745300293,0.44552538654089346,0.0002128002101804416,udd1,30479,0.369729978,0.0027650647198966876,Uses total age-cell frequency,0.07696029993409795
67,prob_work,0.36705368433153235,N=10000,10000,3.043421745300293,0.37107423299844333,0.0040205486669109836,udd1,30295,0.2943389998,0.0026184029670637456,Uses total age-cell frequency,1.5354965287942641
68,prob_work,0.3220457730032695,N=10000,10000,3.043421745300293,0.32468857507409876,0.0026428020708292865,udd1,29842,0.2285369613,0.002430646617745015,Uses total age-cell frequency,1.0872835448540414
69,prob_work,0.29036860879904874,N=10000,10000,3.043421745300293,0.28681176455207874,0.0035568442469700035,udd1,29091,0.1882712867,0.0022920187942329336,Uses total age-cell frequency,1.5518390407267
70,prob_work,0.24608663997087732,N=10000,10000,3.043421745300293,0.2535312866358486,0.0074446466649712995,udd1,28733,0.1609299412,0.0021678391339006327,Uses total age-cell frequency,3.434132426411184
71,prob_work,0.22565438531199603,N=10000,10000,3.043421745300293,0.2216758657780664,0.003978519533929636,udd1,28201,0.1363072231,0.0020431809215295735,Uses total age-cell frequency,1.9472184239813783
72,prob_work,0.19672131147540983,N=10000,10000,3.043421745300293,0.19313771804171365,0.003583593433696186,udd1,27755,0.1211313277,0.0019584821378455207,Uses total age-cell frequency,1.8297810148212081
73,prob_work,0.16980392156862745,N=10000,10000,3.043421745300293,0.16780046534436527,0.002003456224262179,udd1,27615,0.1057758465,0.0018507336830483588,Uses total age-cell frequency,1.0825199987511276
74,prob_work,0.1475895502289254,N=10000,10000,3.043421745300293,0.14563273773853128,0.0019568124903941164,udd1,27541,0.0951672053,0.0017682268125482755,Uses total age-cell frequency,1.1066524251908958
75,prob_work,0.12590428491930997,N=10000,10000,3.043421745300293,0.12457173648270489,0.0013325484366050744,udd1,27329,0.085733104,0.0016935534234307523,Uses total age-cell frequency,0.7868357845515352
76,prob_work,0.10114145354717527,N=10000,10000,3.043421745300293,0.10751288990336536,0.0063714363561900855,udd1,25186,0.0762725324,0.0016725396125979084,Uses total age-cell frequency,3.809438238831016
77,prob_work,0.09414758269720101,N=10000,10000,3.043421745300293,0.0932165494225829,0.0009310332746181177,udd1,22442,0.0706710632,0.001710703577368741,Uses total age-cell frequency,0.5442399764254624
78,prob_work,0.08506321211175277,N=10000,10000,3.043421745300293,0.080256574888502,0.004806637223250768,udd1,19392,0.0636344884,0.001752902182840434,Uses total age-cell frequency,2.7421023661810993
79,prob_work,0.0734156378600823,N=10000,10000,3.043421745300293,0.07151689038049786,0.0018987474795844478,udd1,16359,0.0566660554,0.0018076562448152392,Uses total age-cell frequency,1.0503919011319096
80,prob_work,0.0670147954743255,N=10000,10000,3.043421745300293,0.06333574662212259,0.0036790488522029097,udd1,13610,0.0522409993,0.001907329096678725,Uses total age-cell frequency,1.928900921508155
81,prob_work,0.061424606845513416,N=10000,10000,3.043421745300293,0.0601730461839719,0.0012515606615415148,udd1,11239,0.0477800516,0.0020120006158682985,Uses total age-cell frequency,0.6220478521083312
82,prob_work,0.06354845075981844,N=10000,10000,3.043421745300293,0.06397020451654764,0.000421753756729204,udd1,7491,0.0392470965,0.0022435704994076444,Uses total age-cell frequency,0.18798328683701135
83,prob_work,0.06601362862010221,N=10000,10000,3.043421745300293,0.07691797767945924,0.010904349059357027,udd1,4499,0.0384529896,0.002866766492096879,Uses total age-cell frequency,3.803710239190464
84,prob_work,0.797312948807042,N=10000,10000,3.043421745300293,0.799192605624801,0.0018796568177590345,udd1,1982,0.0363269425,0.004202690968497573,Uses total age-cell frequency,0.44725078095166154
30,hours_0,0.3072,N=10000,10000,3.043421745300293,0.316171,0.008971000000000007,udd1,2840,0.2591549296,0.008222128593867357,Uses total age-cell frequency,1.0910799919489476
31,hours_0,0.2936,N=10000,10000,3.043421745300293,0.303127,0.009526999999999952,udd1,5097,0.2744751815,0.00625058060855109,Uses total age-cell frequency,1.524178407837276
32,hours_0,0.27622762276227625,N=10000,10000,3.043421745300293,0.2891668800102405,0.012939257247964242,udd1,7282,0.2716286734,0.005212413841895232,Uses total age-cell frequency,2.4823925421968283
33,hours_0,0.2652265226522652,N=10000,10000,3.043421745300293,0.27872562795977457,0.013499105307509363,udd1,9171,0.2705266601,0.00463875463007704,Uses total age-cell frequency,2.9100709962072666
34,hours_0,0.2692269226922692,N=10000,10000,3.043421745300293,0.2705210985130762,0.0012941758208069865,udd1,11180,0.2771019678,0.004232894306220716,Uses total age-cell frequency,0.3057425315120788
35,hours_0,0.2675802740822247,N=10000,10000,3.043421745300293,0.2630973391121303,0.004482934970094388,udd1,13112,0.2811165345,0.003925888602819014,Uses total age-cell frequency,1.1418905179518803
