education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd1,10000,84,hours_3,0.19959465470760945,0.005630854643134322,0.192,0.20852534562211983,10,1.7042888164520265,2.595287322998047,20,5,5,1982,0.0005045409,0.0005044135870906817,Uses total age-cell frequency,11.16317003991018
udd1,10000,84,hours_2,0.19706810307562564,0.006999502077445695,0.18893678160919541,0.2100646352723915,10,1.7042888164520265,2.595287322998047,20,5,5,1982,0.0015136226,0.00087322879595392,Uses total age-cell frequency,8.015656503630758
udd1,10000,84,hours_4,0.19944817145355903,0.009522801869000081,0.18882733148661127,0.22289296494079405,10,1.7042888164520265,2.595287322998047,20,5,5,1982,0.0065590313,0.0018131722328885006,Uses total age-cell frequency,5.2520117483983535
udd1,10000,75,hours_4,0.04465419537357192,0.00281588802656373,0.04080211669683888,0.050793650793650794,10,1.7042888164520265,2.595287322998047,20,5,5,27329,0.0127337261,0.0006782394270407979,Uses total age-cell frequency,4.151761036437574
udd1,10000,76,hours_4,0.03663406084028901,0.0022645962772102897,0.03183062076911998,0.039843523616343086,10,1.7042888164520265,2.595287322998047,20,5,5,25186,0.0106011276,0.0006453304190122713,Uses total age-cell frequency,3.509204293633688
udd1,25000,84,hours_3,0.20097534778010195,0.004113815010350057,0.19598363703979174,0.20813084112149532,10,2.6188261985778807,2.595287322998047,20,5,5,1982,0.0005045409,0.0005044135870906817,Uses total age-cell frequency,8.155638776658268
udd1,25000,84,hours_2,0.19790821040413206,0.005516308146775222,0.18792257108456054,0.20511146348288406,10,2.6188261985778807,2.595287322998047,20,5,5,1982,0.0015136226,0.00087322879595392,Uses total age-cell frequency,6.317139531283066
udd1,25000,74,hours_4,0.052202286413697896,0.0023009707863889733,0.04853641569005191,0.05479892761394102,10,2.6188261985778807,2.595287322998047,20,5,5,27541,0.017283323,0.000785304224416068,Uses total age-cell frequency,2.9300374489898053
udd1,25000,76,hours_4,0.03708324454835378,0.0018637057631333846,0.03473744950952106,0.03971492614518076,10,2.6188261985778807,2.595287322998047,20,5,5,25186,0.0106011276,0.0006453304190122713,Uses total age-cell frequency,2.8879868486378375
udd1,25000,75,hours_4,0.044867054313656396,0.0018807972355618305,0.04061361880587132,0.04733859317701967,10,2.6188261985778807,2.595287322998047,20,5,5,27329,0.0127337261,0.0006782394270407979,Uses total age-cell frequency,2.7730579505940396
